Exit stations,Entry stations->,,WEEKDAY,,,42125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
24,155,160,57,109,280,154,233,326,286,141,220,155,83,68,63,49,32,61,72,62,64,29,25,107,226,1489,2013,2202,1202,292,86,317,753,325,164,28,81,39,122,119,151,211,256,33,24,0,13121,,,,,,,,,,,
GP,42,62,33,36,124,37,79,160,164,63,73,83,35,26,27,14,11,31,42,48,47,14,18,44,63,1086,1393,1333,766,354,293,39,164,82,60,16,45,15,53,40,75,102,147,21,13,0,7470,,,,,,,,,,,
BP,67,89,30,40,94,38,76,117,150,84,94,88,56,51,38,22,23,36,43,35,34,15,12,46,88,1355,1796,2838,1349,730,715,152,71,121,119,18,55,18,63,82,136,109,191,20,7,0,11410,,,,,,,,,,,
DC,77,143,57,47,122,48,99,158,177,119,137,159,85,82,54,40,57,83,103,90,72,23,25,39,70,1245,1649,1511,800,334,334,92,141,36,45,38,114,58,108,78,168,191,275,48,14,0,9445,,,,,,,,,,,
CM,20,34,8,10,38,16,26,70,115,15,14,21,11,9,8,6,8,8,22,13,22,4,5,6,15,832,972,742,495,161,153,58,128,43,15,2,18,7,28,21,66,104,114,4,2,0,4487,,,,,,,,,,,
CV,4,10,7,11,48,11,30,84,110,111,57,108,53,75,28,22,22,39,9,4,6,2,2,7,10,512,531,291,242,62,28,17,21,38,2,9,128,1,5,3,5,22,6,88,9,0,2885,,,,,,,,,,,
ED,16,38,23,21,131,26,65,198,207,183,121,311,102,225,86,38,69,120,12,6,6,2,2,13,25,1901,1539,701,600,151,87,51,60,118,20,144,54,2,15,17,17,128,22,48,77,0,7797,,,,,,,,,,,
NC,5,9,5,7,45,8,47,156,173,18,13,32,10,5,12,4,5,10,61,38,60,15,8,23,9,477,481,283,264,74,43,17,19,54,7,3,2,12,53,6,11,61,12,1,13,0,2670,,,,,,,,,,,
WP,37,51,20,22,106,28,252,249,334,47,62,117,40,33,50,23,23,43,393,145,265,49,24,66,37,739,722,638,578,180,142,63,73,116,29,6,15,67,24,27,46,130,30,5,28,0,6171,,,,,,,,,,,
SS,14,30,10,7,33,9,23,62,87,11,15,27,15,10,10,7,6,8,19,21,17,6,4,7,11,614,804,521,373,139,115,42,89,83,19,3,19,6,25,17,38,44,64,4,2,0,3491,,,,,,,,,,,
SB,27,49,13,14,39,19,41,63,94,20,35,48,17,20,19,10,8,11,25,31,22,9,7,18,30,557,694,492,395,138,153,80,151,182,71,5,19,13,45,40,17,61,62,7,4,0,3876,,,,,,,,,,,
SO,50,113,70,111,254,82,136,111,140,47,62,38,43,27,22,13,29,58,123,170,182,101,83,173,109,522,562,1196,528,235,202,112,118,186,110,22,131,69,135,56,62,34,409,44,28,0,7105,,,,,,,,,,,
MB,37,65,30,37,175,44,56,130,143,23,31,43,15,11,7,8,4,8,26,24,29,15,8,22,35,1004,1366,739,521,261,234,139,203,283,115,5,21,10,32,68,56,357,51,7,8,0,6504,,,,,,,,,,,
WD,5,17,12,9,61,15,24,91,119,78,61,146,50,103,43,25,30,49,6,4,4,2,2,7,11,870,740,321,261,63,35,26,20,52,5,103,43,1,6,3,6,43,6,21,38,0,3635,,,,,,,,,,,
OA,10,31,29,39,110,36,44,50,65,26,11,58,11,9,13,7,20,42,27,47,44,20,11,27,11,160,131,116,86,25,21,13,8,14,2,9,74,14,25,2,4,27,8,36,13,0,1583,,,,,,,,,,,
WS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Entries,4461,8424,4923,4876,12601,5942,9356,12774,13726,7141,8658,8212,5947,6053,5359,3342,5054,9029,6419,7242,6759,3706,2907,5667,7427,39915,42398,32811,24974,13135,13627,8104,12510,9592,4619,3028,8004,2824,6174,3553,3793,7169,6885,3573,1620,0,424312,,,,,,,,,,,
